59	|	33079878.95	|	856207.84	|	0.00	|	1524821.04	|	0.00	|	35460907.83	|	0.00	|	1.00	|	0.04	|	
60	|	34604700.00	|	856207.84	|	0.00	|	1540069.26	|	0.00	|	37000977.09	|	0.00	|	1.00	|	0.04	|	
61	|	36144769.25	|	856207.84	|	0.00	|	1555469.95	|	0.00	|	38556447.04	|	0.00	|	1.00	|	0.04	|	
62	|	37700239.20	|	856207.84	|	0.00	|	1571024.65	|	0.00	|	40127471.68	|	0.00	|	1.00	|	0.04	|	
63	|	39271263.85	|	856207.84	|	0.00	|	1586734.89	|	0.00	|	41714206.58	|	0.00	|	1.00	|	0.04	|	
64	|	40857998.74	|	856207.84	|	0.00	|	1602602.24	|	0.00	|	43316808.82	|	0.00	|	1.00	|	0.04	|	
65	|	42460600.99	|	856207.84	|	0.00	|	1618628.27	|	0.00	|	44935437.09	|	0.00	|	1.00	|	0.04	|	
66	|	44079229.25	|	856207.84	|	0.00	|	1634814.55	|	0.00	|	46570251.63	|	0.00	|	1.00	|	0.04	|	
67	|	45714043.80	|	856207.84	|	0.00	|	1651162.69	|	0.00	|	48221414.33	|	0.00	|	1.00	|	0.04	|	
68	|	47365206.49	|	856207.84	|	0.00	|	1667674.32	|	0.00	|	49889088.65	|	0.00	|	1.00	|	0.03	|	
69	|	49032880.81	|	856207.84	|	0.00	|	1684351.06	|	0.00	|	51573439.71	|	0.00	|	1.00	|	0.03	|	
70	|	50717231.88	|	856207.84	|	0.00	|	1701194.57	|	0.00	|	53274634.28	|	0.00	|	1.00	|	0.03	|	
71	|	52418426.45	|	856207.84	|	0.00	|	1718206.52	|	0.00	|	54992840.80	|	0.00	|	1.00	|	0.03	|	
72	|	54136632.97	|	856207.84	|	0.00	|	1735388.59	|	0.00	|	56728229.39	|	0.00	|	1.00	|	0.03	|	
73	|	55872021.55	|	856207.84	|	0.00	|	1752742.47	|	0.00	|	58480971.86	|	0.00	|	1.00	|	0.03	|	
74	|	57624764.03	|	856207.84	|	0.00	|	1770269.90	|	0.00	|	60251241.76	|	0.00	|	1.00	|	0.03	|	
75	|	59395033.92	|	856207.84	|	0.00	|	1787972.59	|	0.00	|	62039214.35	|	0.00	|	1.00	|	0.03	|	
76	|	61183006.52	|	856207.84	|	0.00	|	1805852.32	|	0.00	|	63845066.67	|	0.00	|	1.00	|	0.03	|	
77	|	62988858.84	|	856207.84	|	0.00	|	1823910.84	|	0.00	|	65668977.52	|	0.00	|	1.00	|	0.03	|	
78	|	64812769.68	|	856207.84	|	0.00	|	1842149.95	|	0.00	|	67511127.47	|	0.00	|	1.00	|	0.03	|	
79	|	66654919.63	|	856207.84	|	0.00	|	1860571.45	|	0.00	|	69371698.92	|	0.00	|	1.00	|	0.03	|	
80	|	68515491.08	|	856207.84	|	0.00	|	1879177.17	|	0.00	|	71250876.09	|	0.00	|	1.00	|	0.03	|	
81	|	70394668.25	|	856207.84	|	0.00	|	1897968.94	|	0.00	|	73148845.02	|	0.00	|	1.00	|	0.03	|	
82	|	72292637.19	|	856207.84	|	0.00	|	1916948.63	|	0.00	|	75065793.65	|	0.00	|	1.00	|	0.03	|	
83	|	74209585.81	|	856207.84	|	0.00	|	1936118.11	|	0.00	|	77001911.76	|	0.00	|	1.00	|	0.03	|	
84	|	76145703.93	|	856207.84	|	0.00	|	1955479.29	|	0.00	|	78957391.06	|	0.00	|	1.00	|	0.03	|	
85	|	78101183.22	|	856207.84	|	0.00	|	1975034.09	|	0.00	|	80932425.15	|	0.00	|	1.00	|	0.03	|	
86	|	80076217.31	|	856207.84	|	0.00	|	1994784.43	|	0.00	|	82927209.57	|	0.00	|	1.00	|	0.02	|	
87	|	82071001.74	|	856207.84	|	0.00	|	2014732.27	|	0.00	|	84941941.85	|	0.00	|	1.00	|	0.02	|	
88	|	84085734.01	|	856207.84	|	0.00	|	2034879.60	|	0.00	|	86976821.44	|	0.00	|	1.00	|	0.02	|	
89	|	86120613.61	|	856207.84	|	0.00	|	2055228.39	|	0.00	|	89032049.83	|	0.00	|	1.00	|	0.02	|	
90	|	88175842.00	|	856207.84	|	0.00	|	2075780.68	|	0.00	|	91107830.51	|	0.00	|	1.00	|	0.02	|	
91	|	90251622.67	|	856207.84	|	0.00	|	2096538.48	|	0.00	|	93204368.99	|	0.00	|	1.00	|	0.02	|	
92	|	92348161.16	|	856207.84	|	0.00	|	2117503.87	|	0.00	|	95321872.86	|	0.00	|	1.00	|	0.02	|	
93	|	94465665.02	|	856207.84	|	0.00	|	2138678.91	|	0.00	|	97460551.76	|	0.00	|	1.00	|	0.02	|	
94	|	96604343.93	|	856207.84	|	0.00	|	2160065.69	|	0.00	|	99620617.46	|	0.00	|	1.00	|	0.02	|	
95	|	98764409.62	|	856207.84	|	0.00	|	2181666.35	|	0.00	|	101802283.81	|	0.00	|	1.00	|	0.02	|	
96	|	100946075.97	|	856207.84	|	0.00	|	2203483.02	|	0.00	|	104005766.83	|	0.00	|	1.00	|	0.02	|	
97	|	103149558.99	|	856207.84	|	0.00	|	2225517.85	|	0.00	|	106231284.67	|	0.00	|	1.00	|	0.02	|	
98	|	105375076.84	|	856207.84	|	0.00	|	2247773.02	|	0.00	|	108479057.69	|	0.00	|	1.00	|	0.02	|	
99	|	107622849.86	|	856207.84	|	0.00	|	2270250.75	|	0.00	|	110749308.45	|	0.00	|	1.00	|	0.02	|	
100	|	109893100.61	|	856207.84	|	0.00	|	2292953.26	|	0.00	|	113042261.71	|	0.00	|	1.00	|	0.02	|	
