Year	|	constant	|	variable	|	profit	|	add_cc	|	add_vc	|	val_of_year_prod	|	por	|	poa	|	rop	|	occ	|	total profit	|	
272		|	213836550534877000941699072.00	|	102812962158573614327136256.00	|	250936439280341134344192.00	|	57431171409619047707312128.00	|	45130854309674234075414528.00	|	419462474852024229595971584.00	|	0.00	|	1.00	|	0.32	|	2.08	|	42671254162993257186852864.00	|	
273		|	271267721944496057238945792.00	|	147943816468247848402550784.00	|	29382471036063335388807168.00	|	68917405691542858966761472.00	|	49643939740641662636916736.00	|	567155354880991754044047360.00	|	0.20	|	0.80	|	0.35	|	1.83	|	72053725199056592575660032.00	|	
274		|	340185127636038924795641856.00	|	197587756208889493859598336.00	|	60278535664332242788810752.00	|	82700886829851420452192256.00	|	54608333714705830618595328.00	|	735360640053817912514838528.00	|	0.31	|	0.69	|	0.37	|	1.72	|	132332260863388835364470784.00	|	
275		|	422886014465890310888095744.00	|	252196089923595341658062848.00	|	92885858641597197665173504.00	|	99241064195821707978604544.00	|	60069167086176418834415616.00	|	927278194313080994204221440.00	|	0.37	|	0.63	|	0.37	|	1.68	|	225218119504986050209513472.00	|	
276		|	522127078661712001686831104.00	|	312265257009771726132740096.00	|	127099896179991626148478976.00	|	119089277034986046138351616.00	|	66076083794794062435844096.00	|	1146657592681255453952311296.00	|	0.41	|	0.59	|	0.37	|	1.67	|	352318015684977676357992448.00	|	
277		|	641216355696698030645313536.00	|	378341340804565797158518784.00	|	162750516188309098023878656.00	|	142907132441983241622126592.00	|	72683692174273474692382720.00	|	1397899037305829624962351104.00	|	0.43	|	0.57	|	0.37	|	1.69	|	515068531873286774381871104.00	|	
278		|	784123488138681237907701760.00	|	451025032978839289030770688.00	|	199584412656758578640584704.00	|	171488558930379896818499584.00	|	79952061391700830751555584.00	|	1686173554096359815969243136.00	|	0.44	|	0.56	|	0.37	|	1.74	|	714652944530045353022455808.00	|	
279		|	955612047069061169085939712.00	|	530977094370540136962195456.00	|	237243556123213334927376384.00	|	205786270716455855566356480.00	|	87947267530870929288593408.00	|	2017566235810141443010330624.00	|	0.45	|	0.55	|	0.36	|	1.80	|	951896500653258687949832192.00	|	
280		|	1161398317785517059012034560.00	|	618924361901411049070919680.00	|	275238842757705977840009216.00	|	246943524859747026679627776.00	|	96741994283958027371413504.00	|	2399247041588339019714920448.00	|	0.44	|	0.56	|	0.35	|	1.88	|	1227135343410964734509318144.00	|	
281		|	1408341842645264154411139072.00	|	715666356185369093622202368.00	|	312917932641318812600238080.00	|	296332229831696418271657984.00	|	106416193712353845570437120.00	|	2839674555016002616533450752.00	|	0.44	|	0.56	|	0.34	|	1.97	|	1540053276052283547109556224.00	|	
282		|	1704674072476960503963320320.00	|	822082549897722887653031936.00	|	349426061016097916085862400.00	|	355598675798035715669884928.00	|	117057813083589238717415424.00	|	3348839172272406279269384192.00	|	0.43	|	0.57	|	0.33	|	2.07	|	1889479337068381463195418624.00	|	
283		|	2060272748274996288352681984.00	|	939140362981312074830839808.00	|	383658357631721096387493888.00	|	426718410957642817572175872.00	|	128763594391948178051039232.00	|	3938553474237620438014361600.00	|	0.41	|	0.59	|	0.31	|	2.19	|	2273137694700102697021865984.00	|	
284		|	2486991159232638899766427648.00	|	1067903957373260304421486592.00	|	414201910392945925760745472.00	|	512062093149171353598820352.00	|	141639953831143007882051584.00	|	4622799073979158958853586944.00	|	0.39	|	0.61	|	0.30	|	2.33	|	2687339605093048622782611456.00	|	
285		|	2999053252381810253365248000.00	|	1209543911204403329483407360.00	|	439265450211140460060082176.00	|	614474511779005596830793728.00	|	155803949214257306952269824.00	|	5418141074790616912332062720.00	|	0.36	|	0.64	|	0.29	|	2.48	|	3126605055304188807964786688.00	|	
286		|	3613527764160815987634995200.00	|	1365347860418660739514892288.00	|	456594102148170899771097088.00	|	737369414134806743684743168.00	|	171384344135683061699313664.00	|	6344223484998136916908965888.00	|	0.33	|	0.67	|	0.27	|	2.65	|	3583199157452359570296930304.00	|	
287		|	4350897178295622868758691840.00	|	1536732204554343835573944320.00	|	463366129043324392462876672.00	|	884843296961768119909482496.00	|	188522778549251391921061888.00	|	7424361587404311089662394368.00	|	0.30	|	0.70	|	0.26	|	2.83	|	4046565286495683962759806976.00	|	
288		|	5235740475257390576351313920.00	|	1725254983103595296214482944.00	|	456067970345297193008627712.00	|	1061811956354121661428006912.00	|	207375056404176544857063424.00	|	8686250441464581718536093696.00	|	0.26	|	0.74	|	0.25	|	3.03	|	4502633256840981430646341632.00	|	
289		|	6297552431611511825462460416.00	|	1932630039507771875431284736.00	|	430343129838231891969310720.00	|	1274174347624945828786864128.00	|	228112562044594223394586624.00	|	10162812510627055576325029888.00	|	0.22	|	0.78	|	0.23	|	3.26	|	4932976386679213047737745408.00	|	
290		|	7571726779236457104493510656.00	|	2160742601552366030106394624.00	|	380809566153377492907327488.00	|	1529009217149934884593074176.00	|	250923818249053652605992960.00	|	11893211982341188614950486016.00	|	0.18	|	0.82	|	0.22	|	3.50	|	5313785952832590265767165952.00	|	
291		|	9100735996386391439330770944.00	|	2411666419801419682712387584.00	|	300839159147538748358524928.00	|	1834811060579921916487270400.00	|	276016200073959052226330624.00	|	13924068835989231354511360000.00	|	0.12	|	0.88	|	0.21	|	3.77	|	5614625111980128739247783936.00	|	
292		|	10935547056966313080940134400.00	|	2687682619875378700578979840.00	|	182291527098117453653213184.00	|	2201773272695906299784724480.00	|	303617820081354981500780544.00	|	16310912296717070482098094080.00	|	0.07	|	0.93	|	0.20	|	4.07	|	5796916639078246192900997120.00	|	
293		|	13137320329662219930480672768.00	|	2991300439956733647720022016.00	|	15192910632155481196462080.00	|	2642127927235087559741669376.00	|	333979602089490538062413824.00	|	19119921209575686126409089024.00	|	0.01	|	0.99	|	0.19	|	4.39	|	5812109549710401674097459200.00	|	
294		|	14201503431207576631248945152.00	|	3159016039943913096752398336.00	|	0.00	|	3170553512682104851787677696.00	|	367377562298439598740602880.00	|	20685799513197715082014883840.00	|	0.00	|	1.06	|	0.19	|	4.75	|	5827302460342557155293921280.00	|	
295		|	15634851249500713664586448896.00	|	3350073922130234892355633152.00	|	0.00	|	3804664215218525602242887680.00	|	404115318528283592974401536.00	|	22511318773873302695544094720.00	|	0.00	|	1.19	|	0.19	|	4.93	|	5827302460342557155293921280.00	|	
296		|	17495563918247317649120821248.00	|	3566479778625592090335117312.00	|	0.00	|	4565597058262230722691465216.00	|	444526850381112014119370752.00	|	24816232937531426919115915264.00	|	0.00	|	1.33	|	0.18	|	5.18	|	5827302460342557155293921280.00	|	
297		|	19855044878858590675900825600.00	|	3810456297556368861436051456.00	|	0.00	|	5478716469914676647327432704.00	|	5123677989490004296286076928.00	|	27676507805421667421362585600.00	|	0.00	|	2.64	|	0.17	|	5.50	|	5827302460342557155293921280.00	|	
298		|	22800385213895941580465897472.00	|	8487427572694054169982533632.00	|	0.00	|	6574459763897612196695244800.00	|	5636045788439004945817010176.00	|	40221947073636372206705442816.00	|	0.00	|	1.37	|	0.29	|	2.84	|	5827302460342557155293921280.00	|	
299		|	29374844977793554876672770048.00	|	14123473361133059115799543808.00	|	34471277173018049806073856.00	|	7889351716677134636034293760.00	|	6199650367282906429959176192.00	|	57621791700059668710225346560.00	|	0.00	|	1.00	|	0.32	|	2.08	|	5861773737515575205099995136.00	|	
300		|	37264196694470691711730319360.00	|	20323123728415965545758720000.00	|	4036286264392206029953171456.00	|	9467222060012561563241152512.00	|	6819615404011197952564396032.00	|	77910444151302622803247759360.00	|	0.20	|	0.80	|	0.35	|	1.83	|	9898060001907781235053166592.00	|	
